datetime,temperature,humidity,person
2025-06-24 12:00:00,23.8,41.4,Aconcagua.csv
2025-06-24 13:00:00,23.85,41.349999999999994,Aconcagua.csv
2025-06-24 14:00:00,23.9,41.3,Aconcagua.csv
2025-06-24 15:00:00,23.9,41.65,Aconcagua.csv
2025-06-24 16:00:00,23.9,42.0,Aconcagua.csv
2025-06-24 17:00:00,23.85,42.1,Aconcagua.csv
2025-06-24 18:00:00,23.8,42.2,Aconcagua.csv
2025-06-24 19:00:00,23.75,43.0,Aconcagua.csv
2025-06-24 20:00:00,23.7,43.8,Aconcagua.csv
2025-06-24 21:00:00,23.75,44.8,Aconcagua.csv
2025-06-24 22:00:00,23.8,45.8,Aconcagua.csv
2025-06-24 23:00:00,23.8,46.75,Aconcagua.csv
2025-06-25 00:00:00,23.8,47.7,Aconcagua.csv
2025-06-25 01:00:00,23.8,48.900000000000006,Aconcagua.csv
2025-06-25 02:00:00,23.8,50.1,Aconcagua.csv
2025-06-25 03:00:00,23.85,51.3,Aconcagua.csv
2025-06-25 04:00:00,23.9,52.5,Aconcagua.csv
2025-06-25 05:00:00,23.75,52.8,Aconcagua.csv
2025-06-25 06:00:00,23.6,53.1,Aconcagua.csv
2025-06-25 07:00:00,23.65,54.25,Aconcagua.csv
2025-06-25 08:00:00,23.7,55.4,Aconcagua.csv
2025-06-25 09:00:00,23.7,54.7,Aconcagua.csv
2025-06-25 10:00:00,23.7,54.0,Aconcagua.csv
2025-06-25 11:00:00,23.75,53.55,Aconcagua.csv
2025-06-25 12:00:00,23.8,53.1,Aconcagua.csv
2025-06-25 13:00:00,23.8,52.650000000000006,Aconcagua.csv
2025-06-25 14:00:00,23.8,52.2,Aconcagua.csv
2025-06-25 15:00:00,23.85,52.05,Aconcagua.csv
2025-06-25 16:00:00,23.9,51.9,Aconcagua.csv
2025-06-25 17:00:00,23.9,51.766666666666666,Aconcagua.csv
2025-06-25 18:00:00,23.9,51.63333333333333,Aconcagua.csv
2025-06-25 19:00:00,23.9,51.5,Aconcagua.csv
2025-06-25 20:00:00,23.75,51.4,Aconcagua.csv
2025-06-25 21:00:00,23.6,51.3,Aconcagua.csv
2025-06-25 22:00:00,23.55,51.65,Aconcagua.csv
2025-06-25 23:00:00,23.5,52.0,Aconcagua.csv
2025-06-26 00:00:00,23.4,52.35,Aconcagua.csv
2025-06-26 01:00:00,23.3,52.7,Aconcagua.csv
2025-06-26 02:00:00,23.200000000000003,52.5,Aconcagua.csv
2025-06-26 03:00:00,23.1,52.3,Aconcagua.csv
2025-06-26 04:00:00,23.1,52.45,Aconcagua.csv
2025-06-26 05:00:00,23.1,52.6,Aconcagua.csv
2025-06-26 06:00:00,23.25,52.3,Aconcagua.csv
2025-06-26 07:00:00,23.4,52.0,Aconcagua.csv
2025-06-26 08:00:00,23.5,51.8,Aconcagua.csv
2025-06-26 09:00:00,23.6,51.6,Aconcagua.csv
2025-06-26 10:00:00,23.65,51.55,Aconcagua.csv
2025-06-26 11:00:00,23.7,51.5,Aconcagua.csv
2025-06-26 12:00:00,23.75,51.75,Aconcagua.csv
2025-06-26 13:00:00,23.8,52.0,Aconcagua.csv
2025-06-26 14:00:00,23.85,52.15,Aconcagua.csv
2025-06-26 15:00:00,23.9,52.3,Aconcagua.csv
2025-06-26 16:00:00,23.95,52.2,Aconcagua.csv
2025-06-26 17:00:00,24.0,52.1,Aconcagua.csv
2025-06-26 18:00:00,23.95,52.0,Aconcagua.csv
2025-06-26 19:00:00,23.9,51.9,Aconcagua.csv
2025-06-26 20:00:00,23.95,52.3,Aconcagua.csv
2025-06-26 21:00:00,24.0,52.7,Aconcagua.csv
2025-06-26 22:00:00,24.1,54.5,Aconcagua.csv
2025-06-26 23:00:00,24.2,56.3,Aconcagua.csv
2025-06-27 00:00:00,24.25,56.55,Aconcagua.csv
2025-06-27 01:00:00,24.3,56.8,Aconcagua.csv
2025-06-27 02:00:00,24.3,57.05,Aconcagua.csv
2025-06-27 03:00:00,24.3,57.3,Aconcagua.csv
2025-06-27 04:00:00,24.25,56.95,Aconcagua.csv
2025-06-27 05:00:00,24.2,56.6,Aconcagua.csv
2025-06-27 06:00:00,24.2,56.3,Aconcagua.csv
2025-06-27 07:00:00,24.2,56.0,Aconcagua.csv
